Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Month_Number,Quarter,Week,Day
1,2010-05-02,1643690.9,No,42.31,2.572,211.0963582,8.106,2010,May,5,Q2,17,2
1,2010-12-02,1641957.44,Yes,38.51,2.548,211.2421698,8.106,2010,December,12,Q4,48,2
1,2010-02-19,1611968.17,No,39.93,2.514,211.2891429,8.106,2010,February,2,Q1,7,19
1,2010-02-26,1409727.59,No,46.63,2.561,211.3196429,8.106,2010,February,2,Q1,8,26
1,2010-05-03,1554806.68,No,46.5,2.625,211.3501429,8.106,2010,May,5,Q2,18,3
1,2010-12-03,1439541.59,No,57.79,2.667,211.3806429,8.106,2010,December,12,Q4,48,3
1,2010-03-19,1472515.79,No,54.58,2.72,211.215635,8.106,2010,March,3,Q1,11,19
1,2010-03-26,1404429.92,No,51.45,2.732,211.0180424,8.106,2010,March,3,Q1,12,26
1,2010-02-04,1594968.28,No,62.27,2.719,210.8204499,7.808,2010,February,2,Q1,5,4
1,2010-09-04,1545418.53,No,65.86,2.77,210.6228574,7.808,2010,September,9,Q3,35,4
1,2010-04-16,1466058.28,No,66.32,2.808,210.4887,7.808,2010,April,4,Q2,15,16
1,2010-04-23,1391256.12,No,64.84,2.795,210.4391228,7.808,2010,April,4,Q2,16,23
1,2010-04-30,1425100.71,No,67.41,2.78,210.3895456,7.808,2010,April,4,Q2,17,30
1,2010-07-05,1603955.12,No,72.55,2.835,210.3399684,7.808,2010,July,7,Q3,27,5
1,2010-05-14,1494251.5,No,74.78,2.854,210.3374261,7.808,2010,May,5,Q2,19,14
1,2010-05-21,1399662.07,No,76.44,2.826,210.6170934,7.808,2010,May,5,Q2,20,21
1,2010-05-28,1432069.95,No,80.44,2.759,210.8967606,7.808,2010,May,5,Q2,21,28
1,2010-04-06,1615524.71,No,80.69,2.705,211.1764278,7.808,2010,April,4,Q2,14,6
1,2010-11-06,1542561.09,No,80.43,2.668,211.4560951,7.808,2010,November,11,Q4,44,6
1,2010-06-18,1503284.06,No,84.11,2.637,211.4537719,7.808,2010,June,6,Q2,24,18
1,2010-06-25,1422711.6,No,84.34,2.653,211.3386526,7.808,2010,June,6,Q2,25,25
1,2010-02-07,1492418.14,No,80.91,2.669,211.2235333,7.787,2010,February,2,Q1,5,7
1,2010-09-07,1546074.18,No,80.48,2.642,211.108414,7.787,2010,September,9,Q3,36,7
1,2010-07-16,1448938.92,No,83.15,2.623,211.1003854,7.787,2010,July,7,Q3,28,16
1,2010-07-23,1385065.2,No,83.36,2.608,211.2351443,7.787,2010,July,7,Q3,29,23
1,2010-07-30,1371986.6,No,81.84,2.64,211.3699032,7.787,2010,July,7,Q3,30,30
1,2010-06-08,1605491.78,No,87.16,2.627,211.5046621,7.787,2010,June,6,Q2,23,8
1,2010-08-13,1508237.76,No,87.0,2.692,211.6394211,7.787,2010,August,8,Q3,32,13
1,2010-08-20,1513080.49,No,86.65,2.664,211.6033633,7.787,2010,August,8,Q3,33,20
1,2010-08-27,1449142.92,No,85.22,2.619,211.5673056,7.787,2010,August,8,Q3,34,27
1,2010-03-09,1540163.53,No,81.21,2.577,211.5312479,7.787,2010,March,3,Q1,10,9
1,2010-10-09,1507460.69,Yes,78.69,2.565,211.4951902,7.787,2010,October,10,Q4,40,9
1,2010-09-17,1430378.67,No,82.11,2.582,211.5224596,7.787,2010,September,9,Q3,37,17
1,2010-09-24,1351791.03,No,80.94,2.624,211.5972246,7.787,2010,September,9,Q3,38,24
1,2010-01-10,1453329.5,No,71.89,2.603,211.6719895,7.838,2010,January,1,Q1,1,10
1,2010-08-10,1508239.93,No,63.93,2.633,211.7467544,7.838,2010,August,8,Q3,32,10
1,2010-10-15,1459409.1,No,67.18,2.72,211.8137436,7.838,2010,October,10,Q4,41,15
1,2010-10-22,1345454.0,No,69.86,2.725,211.8612937,7.838,2010,October,10,Q4,42,22
1,2010-10-29,1384209.22,No,69.64,2.716,211.9088438,7.838,2010,October,10,Q4,43,29
1,2010-05-11,1551659.28,No,58.74,2.689,211.9563939,7.838,2010,May,5,Q2,19,11
